party,popularity
เพื่อไทย,47.2
เพื่อไทย,47
ก้าวไกล,21.85
ก้าวไกล,21.2
รวมไทยสร้างชาติ,11.4
รวมไทยสร้างชาติ,10.8
ประชาธิปัตย์,4.75
ประชาธิปัตย์,4.5
ภูมิใจไทย,3.75
ภูมิใจไทย,3
เสรีรวมไทย,2.65
เสรีรวมไทย,2.15
พลังประชารัฐ,2.1
ไทยสร้างไทย,2.1
ไทยสร้างไทย,2.05
พลังประชารัฐ,1.8
ชาติพัฒนากล้า,1.55
ชาติพัฒนากล้า,1.5
