party,popularity
เพื่อไทย,40.38
ก้าวไกล,36.49
รวมไทยสร้างชาติ,12.51
ประชาธิปัตย์,2.35
ภูมิใจไทย,1.52
พลังประชารัฐ,1.34
ไทยสร้างไทย,0.81
ประชาชาติ,0.58
ชาติไทยพัฒนา,0.45
