party,popularity
ก้าวไกล,40.06
เพื่อไทย,39.59
รวมไทยสร้างชาติ,10.57
ภูมิใจไทย,2.75
เสรีรวมไทย,2.16
ไทยสร้างไทย,0.96
ชาติพัฒนากล้า,0.86
ประชาธิปัตย์,0.83
พลังประชารัฐ,0.78
