party,popularity
เพื่อไทย,43.79
เพื่อไทย,41.7
ก้าวไกล,25.51
ก้าวไกล,21.37
รวมไทยสร้างชาติ,10.43
รวมไทยสร้างชาติ,8.7
พลังประชารัฐ,6.75
ภูมิใจไทย,5.76
ประชาธิปัตย์,4.82
พลังประชารัฐ,3.86
ภูมิใจไทย,3.59
ไทยสร้างไทย,3.54
ประชาธิปัตย์,3.49
ไทยสร้างไทย,2.92
ชาติพัฒนากล้า,2.33
ชาติพัฒนากล้า,1.77
เสรีรวมไทย,1.64
เสรีรวมไทย,1.56
