party,popularity
เพื่อไทย,41.37
ก้าวไกล,19.32
ภูมิใจไทย,9.55
รวมไทยสร้างชาติ,8.48
พลังประชารัฐ,7.49
ประชาธิปัตย์,7.3
ไทยสร้างไทย,2.41
เสรีรวมไทย,1.74
ชาติไทยพัฒนา,1.25
