party,popularity
เพื่อไทย,33.25
เพื่อไทย,31.47
ก้าวไกล,23.34
ก้าวไกล,22.09
รวมไทยสร้างชาติ,11.46
รวมไทยสร้างชาติ,11.37
พลังประชารัฐ,10.85
พลังประชารัฐ,10.27
ไทยสร้างไทย,7.9
ไทยสร้างไทย,7.79
ภูมิใจไทย,6.13
ภูมิใจไทย,6.08
ประชาธิปัตย์,2.56
ประชาธิปัตย์,2.38
ประชาชาติ,0.87
ประชาชาติ,0.71
ชาติไทยพัฒนา,0.69
ชาติไทยพัฒนา,0.68
