name,province,electorialDistrictNumber,fromParty
ไชยวัฒนา ติณรัตน์,มหาสารคาม,2,เพื่อไทย
ไชยา พรหมา,หนองบัวลำภู,2,เพื่อไทย
ซูการ์โน มะทา,ยะลา,2,ประชาชาติ
ญาณธิชา บัวเผื่อน,จันทบุรี,3,ก้าวไกล
ฐนภัทร กิตติวงศา,จันทบุรี,1,พลังประชารัฐ
ฐานิสร์ เทียนทอง,สระแก้ว,1,พลังประชารัฐ
ฐาปกรณ์ กุลเจริญ,สมุทรปราการ,6,พลังประชารัฐ
ฐิตินันท์ แสงนาค,ขอนแก่น,1,ภูมิใจไทย
ฐิติภัสร์ โชติเดชาชัยนันต์,กรุงเทพมหานคร,13,พลังประชารัฐ
ณัฏฐ์ชนน ศรีก่อเกื้อ,สงขลา,7,ภูมิใจไทย
ณัฏฐพล จรัสรพีพงษ์,สุรินทร์,2,เศรษฐกิจไทย
ณัฐชา บุญไชยอินสวัสดิ์,กรุงเทพมหานคร,25,ก้าวไกล
ณัฐพงษ์ เรืองปัญญาวุฒิ,กรุงเทพมหานคร,28,ก้าวไกล
ณัฐพงษ์ สุปริยศิลป์,น่าน,3,เพื่อไทย
ณัฐวุฒิ กองจันทร์ดี,หนองบัวลำภู,3,เพื่อไทย
ณัฐวุฒิ ประเสริฐสุวรรณ,สุพรรณบุรี,2,ชาติไทยพัฒนา
ดะนัย มะหิพันธ์,อำนาจเจริญ,2,เพื่อไทย
เดชอิศม์ ขาวทอง,สงขลา,5,ประชาธิปัตย์
ตรีนุช เทียนทอง,สระแก้ว,2,พลังประชารัฐ
ตี๋ใหญ่ พูนศรีธนากูล,สุรินทร์,4,เพื่อไทย
ไตรเทพ งามกมล,บุรีรัมย์,6,ภูมิใจไทย
ไตรรงค์ ติธรรม,บึงกาฬ,2,เพื่อไทย
ทวิรัฐ รัตนเศรษฐ,นครราชสีมา,4,พลังประชารัฐ
ทศพร ทองศิริ,กรุงเทพมหานคร,24,ก้าวไกล
ทองแดง เบ็ญจะปัก,สมุทรสาคร,1,ก้าวไกล
ทัศนาพร เกษเมธีการุณ,นครราชสีมา,8,พลังประชารัฐ
ทัศนีย์ บูรณุปกรณ์,เชียงใหม่,1,เพื่อไทย
ทัศนียา รัตนเศรษฐ,นครราชสีมา,7,พลังประชารัฐ
ทายาท เกียรติชูศักดิ์,นครสวรรค์,5,เพื่อไทย
เทพไท เสนพงศ์,นครศรีธรรมราช,3,ประชาธิปัตย์
เท่าพิภพ ลิ้มจิตรกร,กรุงเทพมหานคร,22,ก้าวไกล
เทียบจุฑา ขาวขำ,อุดรธานี,8,เพื่อไทย
ธณิกานต์ พรพงษาโรจน์,กรุงเทพมหานคร,7,พลังประชารัฐ
ธนกร ไชยกุล,ยโสธร,3,เพื่อไทย
ธนยศ ทิมสุวรรณ,เลย,3,ภูมิใจไทย
ธนะสิทธิ์ โควสุรัตน์,อุบลราชธานี,6,พลังประชารัฐ
ธนัสถ์ ทวีเกื้อกูลกิจ,ตาก,1,เศรษฐกิจไทย
ถาวร เสนเนียม,สงขลา,6,ประชาธิปัตย์
ธรรมวิชญ์ โพธิพิพิธ,กาญจนบุรี,4,พลังประชารัฐ
ธารา ปิตุเตชะ,ระยอง,3,ประชาธิปัตย์
ธีรภัทร พริ้งศุลกะ,สุราษฎร์ธานี,6,ประชาธิปัตย์
ธีรรัตน์ สำเร็จวาณิชย์,กรุงเทพมหานคร,18,เพื่อไทย
ธีระ ไตรสรณกุล,ศรีสะเกษ,5,เพื่อไทย
นพ ชีวานันท์,พระนครศรีอยุธยา,2,เพื่อไทย
นพคุณ รัฐผไท,เชียงใหม่,2,เพื่อไทย
นพพล เหลืองทองนารา,พิษณุโลก,2,เพื่อไทย
นริศ ขำนุรักษ์,พัทลุง,3,ประชาธิปัตย์
นวัธ เตาะเจริญสุข,ขอนแก่น,7,เพื่อไทย
นัทธี ถิ่นสาคู,ภูเก็ต,2,พลังประชารัฐ
นิพันธ์ ศิริธร,ตรัง,1,พลังประชารัฐ
นิยม ช่างพินิจ,พิษณุโลก,4,เพื่อไทย
นิยม เวชกามา,สกลนคร,2,เพื่อไทย
นิรมิต สุจารี,ร้อยเอ็ด,3,เพื่อไทย
นิรันดร์ นาเมืองรักษ์,ร้อยเอ็ด,4,เพื่อไทย
นิโรธ สุนทรเลขา,นครสวรรค์,6,พลังประชารัฐ
แนน บุณย์ธิดา สมชัย,อุบลราชธานี,8,ประชาธิปัตย์
บัญญัติ เจตนจันทร์,ระยอง,2,ประชาธิปัตย์
บัลลังก์ อรรณนพพร,ขอนแก่น,10,เพื่อไทย
บุญแก้ว สมวงศ์,ยโสธร,2,เพื่อไทย
