Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,Party,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
นาย,กมลศักดิ์ ลีวาเมาะ,True,False,False,True,แบ่งเขต,นราธิวาส,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กมลศักดิ์-ลีวาเมาะ.jpg,ประชาชาติ,,['M'],0.0,6862980.0,1.0,0.318019237076318
ศาสตราจารย์ ดร.,กนก วงษ์ตระหง่าน,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กนก-วงษ์ตระหง่าน.jpg,ชาติไทยพัฒนา,,"['R', 'G', 'J', 'G']",3.0,2145737.0,1.0,0.09942993330979001
นาง,กรณิศ งามสุคนธ์รัตนา,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรณิศ-งามสุคนธ์รัตนา.jpg,ภูมิใจไทย,,[],,,,
นาย,กรวีร์ ปริศนานันทกุล,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรวีร์-ปริศนานันทกุล.jpg,ภูมิใจไทย,,[],,,,
นาย,กรุงศรีวิไล สุทินเผือก,True,False,False,True,แบ่งเขต,สมุทรปราการ,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรุงศรีวิไล-สุทินเผือก.jpg,พลังประชารัฐ,,['R'],1.0,,,
นาย,กฤติเดช สันติวชิระกุล,True,False,False,True,แบ่งเขต,แพร่,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤติเดช-สันติวชิระกุล.jpg,อนาคตใหม่,,[],,,,
นาย,กฤษฎา ตันเทอดทิตย์,True,False,False,True,แบ่งเขต,หนองคาย,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤษฎา-ตันเทอดทิตย์.jpg,เพื่อไทย,,[],,,,
นาย,กฤษณ์ แก้วอยู่,True,False,False,False,แบ่งเขต,เพชรบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤษณ์-แก้วอยู่.jpg,ภูมิใจไทย,,[],,,,
นางสาว,กวินนาถ ตาคีย์,True,False,False,True,แบ่งเขต,ชลบุรี,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กวินนาถ-ตาคีย์.jpg,พลังประชารัฐ,,['C'],0.0,119200.0,1.0,0.005523532497471
นาย,กษิดิ์เดช ชุติมันต์,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,8.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กษิดิ์เดช-ชุติมันต์.jpg,ภูมิใจไทย,,['F'],0.0,-391569.0,1.0,-0.018144665239114
นาย,กัญจน์พงศ์ จงสุทธนามณี,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กัญจน์พงศ์-จงสุทธนามณี.jpg,ก้าวไกล,,[],,,,
นาง,กันตวรรณ ตันเถียร,True,False,False,True,แบ่งเขต,พังงา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กันตวรรณ-ตันเถียร.jpg,ประชาธิปัตย์,,[],,,,
นางสาว,กัลยา รุ่งวิจิตรชัย,True,False,False,True,แบ่งเขต,สระบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กัลยา-รุ่งวิจิตรชัย.jpg,พลังประชารัฐ,,[],,,,
ดร.,พิสิฐ ลี้อาธรรม,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พิสิฐ-ลี้อาธรรม.jpg,ประชาธิปัตย์,,"['C', 'M', 'D', 'C', 'K', 'K', 'L', 'J', 'C', 'C', 'C', 'G', 'G']",13.0,,,
นางสาว,กานต์กนิษฐ์ แห้วสันตติ,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กานต์กนิษฐ์-แห้วสันตติ.jpg,เพื่อไทย,,[],,,,
นาย,กิตติ สมทรัพย์,True,False,False,True,แบ่งเขต,ร้อยเอ็ด,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติ-สมทรัพย์.jpg,เพื่อไทย,,[],,,,
นาย,กิตติกร โล่ห์สุนทร,True,False,False,True,แบ่งเขต,ลำปาง,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติกร-โล่ห์สุนทร.jpg,เพื่อไทย,,[],,,,
นาย,กิตติชัย เรืองสวัสดิ์,True,False,False,True,แบ่งเขต,ฉะเชิงเทรา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติชัย-เรืองสวัสดิ์.jpg,อนาคตใหม่,,[],,,,
นางสาว,กิตติ์ธัญญา วาจาดี,True,False,False,True,แบ่งเขต,อุบลราชธานี,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติ์ธัญญา-วาจาดี.jpg,เพื่อไทย,,['G'],,8196.0,1.0,0.000379789197561
นายแพทย์,กิตติศักดิ์ คณาสวัสดิ์,True,False,False,True,แบ่งเขต,มหาสารคาม,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติศักดิ์-คณาสวัสดิ์.jpg,เพื่อไทย,,"['I', 'G']",2.0,,,
นางสาว,กุลธิดา รุ่งเรืองเกียรติ,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กุลธิดา-รุ่งเรืองเกียรติ.jpg,อนาคตใหม่,,[],,,,
นางสาว,กุลวลี นพอมรบดี,True,False,False,True,แบ่งเขต,ราชบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กุลวลี-นพอมรบดี.jpg,รวมไทยสร้างชาติ,,"['F', 'G', 'D', 'H']",1.0,1503950.0,3.0,0.06969057633869301
นาย,กูเฮง ยาวอหะซัน,True,False,False,True,แบ่งเขต,นราธิวาส,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กูเฮง-ยาวอหะซัน.jpg,ประชาชาติ,,[],,,,
นาย,เกรียงศักดิ์ ฝ้ายสีงาม,True,False,False,True,แบ่งเขต,อุดรธานี,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกรียงศักดิ์-ฝ้ายสีงาม.jpg,เพื่อไทย,,['L'],1.0,,,
นาย,เกษม ศุภรานนท์,True,False,False,True,แบ่งเขต,นครราชสีมา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกษม-ศุภรานนท์.jpg,พลังประชารัฐ,,"['F', 'P']",2.0,,,
นาย,เกษม อุประ,True,False,False,True,แบ่งเขต,สกลนคร,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกษม-อุประ.jpg,เพื่อไทย,,[],,,,
นาย,เกษมสันต์ มีทิพย์,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกษมสันต์-มีทิพย์.jpg,ภูมิใจไทย,,"['C', 'G', 'G']",1.0,182775.0,2.0,0.008469493726722
นาย,เกียรติ เหลืองขจรวิทย์,True,False,False,True,แบ่งเขต,ลพบุรี,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกียรติ-เหลืองขจรวิทย์.jpg,ภูมิใจไทย,,['C'],1.0,,,
นาย,เกื้อกูล ด่านชัยวิจิตร,True,False,False,True,แบ่งเขต,พระนครศรีอยุธยา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกื้อกูล-ด่านชัยวิจิตร.jpg,ภูมิใจไทย,,"['L', 'I', 'L', 'G', 'L', 'F', 'F']",4.0,59434009.0,3.0,2.754074498041234
ศาสตราจารย์ ดร.,โกวิทย์ พวงงาม,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/โกวิทย์-พวงงาม.jpg,รวมไทยสร้างชาติ,,[],,,,
นาย,โกศล ปัทมะ,True,False,False,True,แบ่งเขต,นครราชสีมา,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/โกศล-ปัทมะ.jpg,เพื่อไทย,,"['L', 'C', 'G', 'N', 'J']",4.0,374.0,1.0,1.7330546594e-05
นาย,ไกลก้อง ไวทยการ,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ไกลก้อง-ไวทยการ.jpg,อนาคตใหม่,,['J'],1.0,,,
นาย,ขจิตร ชัยนิคม,True,False,False,True,แบ่งเขต,อุดรธานี,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ขจิตร-ชัยนิคม.jpg,เพื่อไทย,,"['D', 'G', 'B', 'G']",3.0,34021.0,1.0,0.001576477341413
นาย,ขวัญเลิศ พานิชมาท,True,False,False,False,แบ่งเขต,ชลบุรี,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ขวัญเลิศ-พานิชมาท.jpg,ภูมิใจไทย,,[],,,,
นาย,เขตรัฐ เหล่าธรรมทัศน์,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เขตรัฐ-เหล่าธรรมทัศน์.jpg,รวมไทยสร้างชาติ,,['Q'],1.0,,,
นาย,คงกฤษ ฉัตรมาลีรัตน์,True,False,False,True,แบ่งเขต,ระนอง,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คงกฤษ-ฉัตรมาลีรัตน์.jpg,ภูมิใจไทย,,[],,,,
นาย,คฑาเทพ เตชะเดชเรืองกุล,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คฑาเทพ-เตชะเดชเรืองกุล.jpg,เพื่อชาติไทย,,[],,,,
นาย,คมเดช ไชยศิวามงคล,True,False,False,True,แบ่งเขต,กาฬสินธุ์,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คมเดช-ไชยศิวามงคล.jpg,เพื่อไทย,,['K'],1.0,,,
นาย,ครูมานิตย์ สังข์พุ่ม,True,False,False,True,แบ่งเขต,สุรินทร์,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ครูมานิตย์-สังข์พุ่ม.jpg,เพื่อไทย,,[],,,,
นาย,คารม พลพรกลาง,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คารม-พลพรกลาง.jpg,ภูมิใจไทย,,"['M', 'C']",2.0,,,
นาย,คำพอง เทพาคำ,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คำพอง-เทพาคำ.jpg,ก้าวไกล,,[],,,,
นาย,คุณากร ปรีชาชนะชัย,True,False,False,True,แบ่งเขต,สุรินทร์,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/คุณากร-ปรีชาชนะชัย.jpg,เพื่อไทย,,[],,,,
นาย,จตุพร เจริญเชื้อ,True,False,False,True,แบ่งเขต,ขอนแก่น,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จตุพร-เจริญเชื้อ.jpg,เพื่อไทย,,[],,,,
นาย,จรัส คุ้มไข่น้ำ,True,False,False,True,แบ่งเขต,ชลบุรี,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จรัส-คุ้มไข่น้ำ.jpg,ก้าวไกล,,[],,,,
นาย,จรัสฤทธิ์ จันทรสุรินทร์,True,False,False,True,แบ่งเขต,ลำปาง,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จรัสฤทธิ์-จันทรสุรินทร์.jpg,เพื่อไทย,,"['G', 'B', 'I', 'F']",4.0,,,
ร้อยเอก ดร.,จองชัย วงศ์ทรายทอง,True,False,False,True,แบ่งเขต,ชลบุรี,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จองชัย-วงศ์ทรายทอง.jpg,พลังประชารัฐ,,[],,,,
