,CandidateId,Title,FirstName,LastName,PartyName,PartyNumber,CandidateNo,Votable,ProvinceName,ProvinceCode,ZoneNumber,Age,Occupation,HighestEducation,Image,ImageSrc
671,a09d26f2dc5bd948abeb14fe29e77ee4,นาย,จรัญ,  อิสระบัณฑิตกุล,เพื่อไทย,34,1,True,กำแพงเพชร,62,3,55,ธุรกิจส่วนตัว,ปริญญาโท,images/เพื่อไทย/จรัญ-อิสระบัณฑิตกุล.jpg,/yourcandidates/candidates/เพื่อไทย/จรัญ-อิสระบัณฑิตกุล.webp
672,61eaa7b4eb34511b2920643fa857bc2d,นาย,สุรเชษฐ,  สีเหนี่ยง,เสรีรวมไทย,145,2,True,กำแพงเพชร,62,3,62,อิสระ,ปริญญาตรี,images/เสรีรวมไทย/สุรเชษฐ-สีเหนี่ยง.jpg,/yourcandidates/candidates/เสรีรวมไทย/สุรเชษฐ-สีเหนี่ยง.webp
673,69cfd33bfab90d244ba115b529aff9c5,นาย,อนันต์,  ผลอำนวย,พลังประชารัฐ,192,3,True,กำแพงเพชร,62,3,70,อดีตสมาชิกสภาผู้แทนราษฎร จังหวัดกำแพงเพชร,ปริญญาโท,images/พลังประชารัฐ/อนันต์-ผลอำนวย.jpg,/yourcandidates/candidates/พลังประชารัฐ/อนันต์-ผลอำนวย.webp
674,b39cb12c8caa6d0caf1bdc5ea7d09646,นาย,กัมพล,  ปัญกุล,รวมไทยสร้างชาติ,229,4,True,กำแพงเพชร,62,3,57,เกษตรกร,ปริญญาโท,images/รวมไทยสร้างชาติ/กัมพล-ปัญกุล.jpg,/yourcandidates/candidates/รวมไทยสร้างชาติ/กัมพล-ปัญกุล.webp
675,d7037a7614c51cbccf0fc10c07f6f13d,นาย,พลเดช,  ศรีแปงวงค์,ประชาธิปัตย์,1,5,True,กำแพงเพชร,62,3,60,รับจ้าง,ปริญญาตรี,images/ประชาธิปัตย์/พลเดช-ศรีแปงวงค์.jpg,/yourcandidates/candidates/ประชาธิปัตย์/พลเดช-ศรีแปงวงค์.webp
676,ac63a403d53842d88c6b3a51bf03925c,นาย,ประพันธ์,  จิตคำ,ก้าวไกล,164,6,True,กำแพงเพชร,62,3,67,เกษตรกร,ปริญญาตรี,images/ก้าวไกล/ประพันธ์-จิตคำ.jpg,/yourcandidates/candidates/ก้าวไกล/ประพันธ์-จิตคำ.webp
677,8e5d01f52d831a5be2284aaaaec36eb6,นาย,กิจติการต์,  ชุมเสน,ไทยเป็นหนึ่ง,241,7,True,กำแพงเพชร,62,3,58,ธุรกิจค้าขาย,ต่ำกว่าปริญญาตรี,images/ไทยเป็นหนึ่ง/กิจติการต์-ชุมเสน.jpg,/yourcandidates/candidates/ไทยเป็นหนึ่ง/กิจติการต์-ชุมเสน.webp
678,8b46cbe11d9fd31beac6320f2adbd118,นาย,วรวุฒิ,  ทองจิตติ,มิติใหม่,228,8,True,กำแพงเพชร,62,3,36,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,images/มิติใหม่/วรวุฒิ-ทองจิตติ.jpg,/yourcandidates/candidates/มิติใหม่/วรวุฒิ-ทองจิตติ.webp
679,a71dd674cbb505f19752cc3493ac75d9,นาย,สังวาลย์,  แววนำ,ท้องที่ไทย,242,9,True,กำแพงเพชร,62,3,61,ข้าราชการบำนาญ,ปริญญาตรี,images/ท้องที่ไทย/สังวาลย์-แววนำ.jpg,/yourcandidates/candidates/ท้องที่ไทย/สังวาลย์-แววนำ.webp
680,de6aeb7987fd6849f0b3ed66fc5a203e,นาย,รชต,  ธิยานันท์,ไทยสร้างไทย,227,10,True,กำแพงเพชร,62,3,53,รับจ้าง,ปริญญาโท,images/ไทยสร้างไทย/รชต-ธิยานันท์.jpg,/yourcandidates/candidates/ไทยสร้างไทย/รชต-ธิยานันท์.webp
