จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้,17,กรุงเทพมหานครคลองสามวาทรายกองดินใต้,,17
กรุงเทพมหานคร,คลองสามวา,บางชัน,16,กรุงเทพมหานครคลองสามวาบางชัน,,16
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,16,กรุงเทพมหานครคลองสามวาสามวาตะวันตก,,16
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,17,กรุงเทพมหานครคลองสามวาสามวาตะวันออก,,17
กรุงเทพมหานคร,คันนายาว,คันนายาว,15,กรุงเทพมหานครคันนายาวคันนายาว,,15
กรุงเทพมหานคร,คันนายาว,รามอินทรา,15,กรุงเทพมหานครคันนายาวรามอินทรา,,15
กรุงเทพมหานคร,จตุจักร,จตุจักร,8,กรุงเทพมหานครจตุจักรจตุจักร,,8
กรุงเทพมหานคร,จตุจักร,จอมพล,8,กรุงเทพมหานครจตุจักรจอมพล,,8
กรุงเทพมหานคร,จตุจักร,จันทรเกษม,9,กรุงเทพมหานครจตุจักรจันทรเกษม,,9
กรุงเทพมหานคร,จตุจักร,ลาดยาว,8,กรุงเทพมหานครจตุจักรลาดยาว,,8
กรุงเทพมหานคร,จตุจักร,เสนานิคม,9,กรุงเทพมหานครจตุจักรเสนานิคม,,9
กรุงเทพมหานคร,จอมทอง,จอมทอง,26,กรุงเทพมหานครจอมทองจอมทอง,,26
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,28,กรุงเทพมหานครจอมทองบางขุนเทียน,,28
กรุงเทพมหานคร,จอมทอง,บางค้อ,26,กรุงเทพมหานครจอมทองบางค้อ,,26
กรุงเทพมหานคร,จอมทอง,บางมด,26,กรุงเทพมหานครจอมทองบางมด,,26
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,10,กรุงเทพมหานครดอนเมืองดอนเมือง,,10
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,10,กรุงเทพมหานครดอนเมืองสนามบิน,,10
กรุงเทพมหานคร,ดอนเมือง,สีกัน,10,กรุงเทพมหานครดอนเมืองสีกัน,,10
กรุงเทพมหานคร,ดินแดง,ดินแดง,6,กรุงเทพมหานครดินแดงดินแดง,,6
กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,6,กรุงเทพมหานครดินแดงรัชดาภิเษก,,6
กรุงเทพมหานคร,ดุสิต,ดุสิต,1,กรุงเทพมหานครดุสิตดุสิต,,1
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,7,กรุงเทพมหานครดุสิตถนนนครไชยศรี,,7
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,1,กรุงเทพมหานครดุสิตวชิรพยาบาล,,1
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,1,กรุงเทพมหานครดุสิตสวนจิตรลดา,,1
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,1,กรุงเทพมหานครดุสิตสี่แยกมหานาค,,1
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,31,กรุงเทพมหานครตลิ่งชันคลองชักพระ,,31
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,31,กรุงเทพมหานครตลิ่งชันฉิมพลี,,31
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,31,กรุงเทพมหานครตลิ่งชันตลิ่งชัน,,31
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,32,กรุงเทพมหานครตลิ่งชันบางเชือกหนัง,,32
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,31,กรุงเทพมหานครตลิ่งชันบางพรม,,31
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,31,กรุงเทพมหานครตลิ่งชันบางระมาด,,31
กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,31,กรุงเทพมหานครทวีวัฒนาทวีวัฒนา,,31
กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,31,กรุงเทพมหานครทวีวัฒนาศาลาธรรมสพน์,,31
กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,25,กรุงเทพมหานครทุ่งครุทุ่งครุ,,25
กรุงเทพมหานคร,ทุ่งครุ,บางมด,25,กรุงเทพมหานครทุ่งครุบางมด,,25
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,24,กรุงเทพมหานครธนบุรีดาวคะนอง,,24
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,24,กรุงเทพมหานครธนบุรีตลาดพลู,,24
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,32,กรุงเทพมหานครธนบุรีบางยี่เรือ,,32
กรุงเทพมหานคร,ธนบุรี,บุคคโล,24,กรุงเทพมหานครธนบุรีบุคคโล,,24
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,32,กรุงเทพมหานครธนบุรีวัดกัลยาณ์,,32
กรุงเทพมหานคร,ธนบุรี,สำเหร่,24,กรุงเทพมหานครธนบุรีสำเหร่,,24
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,32,กรุงเทพมหานครธนบุรีหิรัญรูจี,,32
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,33,กรุงเทพมหานครบางกอกน้อยบางขุนนนท์,,33
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,33,กรุงเทพมหานครบางกอกน้อยบางขุนศรี,,33
กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,33,กรุงเทพมหานครบางกอกน้อยบ้านช่างหล่อ,,33
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,32,กรุงเทพมหานครบางกอกน้อยศิริราช,,32
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,33,กรุงเทพมหานครบางกอกน้อยอรุณอมรินทร์,,33
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,32,กรุงเทพมหานครบางกอกใหญ่วัดท่าพระ,,32
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,32,กรุงเทพมหานครบางกอกใหญ่วัดอรุณ,,32
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,14,กรุงเทพมหานครบางกะปิคลองจั่น,,14
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,14,กรุงเทพมหานครบางกะปิหัวหมาก,,14
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,26,กรุงเทพมหานครบางขุนเทียนท่าข้าม,,26
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,27,กรุงเทพมหานครบางขุนเทียนแสมดำ,,27
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,12,กรุงเทพมหานครบางเขนท่าแร้ง,,12
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,9,กรุงเทพมหานครบางเขนอนุสาวรีย์,,9
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,3,กรุงเทพมหานครบางคอแหลมบางคอแหลม,,3
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,3,กรุงเทพมหานครบางคอแหลมบางโคล่,,3
กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,3,กรุงเทพมหานครบางคอแหลมวัดพระยาไกร,,3
กรุงเทพมหานคร,บางแค,บางแค,30,กรุงเทพมหานครบางแคบางแค,,30
กรุงเทพมหานคร,บางแค,บางแคเหนือ,29,กรุงเทพมหานครบางแคบางแคเหนือ,,29
กรุงเทพมหานคร,บางแค,บางไผ่,29,กรุงเทพมหานครบางแคบางไผ่,,29
กรุงเทพมหานคร,บางแค,หลักสอง,30,กรุงเทพมหานครบางแคหลักสอง,,30
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,7,กรุงเทพมหานครบางซื่อบางซื่อ,,7
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,7,กรุงเทพมหานครบางซื่อวงศ์สว่าง,,7
กรุงเทพมหานคร,บางนา,บางนาใต้,23,กรุงเทพมหานครบางนาบางนาใต้,,23
กรุงเทพมหานคร,บางนา,บางนาเหนือ,23,กรุงเทพมหานครบางนาบางนาเหนือ,,23
กรุงเทพมหานคร,บางบอน,คลองบางบอน,27,กรุงเทพมหานครบางบอนคลองบางบอน,,27
