number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
65,นางสาวภราดา นาคสุริยะ,นางสาว,ภราดา นาคสุริยะ,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,female,,,
66,นายกฤษดา ทับทอง,นาย,กฤษดา ทับทอง,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
67,นายภูธเนศ ทับทอง,นาย,ภูธเนศ ทับทอง,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
68,นายชัยรัตน์ มุทาญาณากร,นาย,ชัยรัตน์ มุทาญาณากร,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
12,ดาบตำรวจจตุพร วิริยะพงศ์,ดาบตำรวจ,จตุพร วิริยะพงศ์,คลองไทย,เขต,นครศรีธรรมราช,4,male,,,
70,นายปกาญจน์ นพศรี,นาย,ปกาญจน์ นพศรี,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
71,นางสิริกร เรืองฤทธิ์,นาง,สิริกร เรืองฤทธิ์,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,female,,,
72,นายจักรกฤษณ์ พันธุรักษ์,นาย,จักรกฤษณ์ พันธุรักษ์,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
73,นายฐาปนพงศ์ ริมหนองอ่าง,นาย,ฐาปนพงศ์ ริมหนองอ่าง,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
74,นายอมรเชษฐ์ เพชรรักษ์,นาย,อมรเชษฐ์ เพชรรักษ์,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
75,นายต่อพล ปิ่นทอง,นาย,ต่อพล ปิ่นทอง,ชาติไทยพัฒนา,บัญชีรายชื่อ,,,male,,,
