number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
23,นายธนกฤต กิตติธรรมกูล,นาย,ธนกฤต กิตติธรรมกูล,เสมอภาค,บัญชีรายชื่อ,,,male,,,
24,นางสาววัลลยา ศิลป์วชัย,นางสาว,วัลลยา ศิลป์วชัย,เสมอภาค,บัญชีรายชื่อ,,,female,,,
25,นางสาวภัทรานิษฐ์ พณิชธนันต์ชัย,นางสาว,ภัทรานิษฐ์ พณิชธนันต์ชัย,เสมอภาค,บัญชีรายชื่อ,,,female,,,
26,นายอะพิศิษฏ์ พรมสิงห์,นาย,อะพิศิษฏ์ พรมสิงห์,เสมอภาค,บัญชีรายชื่อ,,,male,,,
27,นายณัฐพล เผ่าวัฒนา,นาย,ณัฐพล เผ่าวัฒนา,เสมอภาค,บัญชีรายชื่อ,,,male,,,
28,นางสาวณัชชารีย์ จิรโชติบุลวัฒน์,นางสาว,ณัชชารีย์ จิรโชติบุลวัฒน์,เสมอภาค,บัญชีรายชื่อ,,,female,,,
29,นางสาวกฤศ ธรรมสโรช,นางสาว,กฤศ ธรรมสโรช,เสมอภาค,บัญชีรายชื่อ,,,female,,,
30,นายณฐปนนท์ ใจทำแปง,นาย,ณฐปนนท์ ใจทำแปง,เสมอภาค,บัญชีรายชื่อ,,,male,,,
3,ว่าที่พันเอกหญิงส้าหลี้เฝาะ โต๊ะหลี,ว่าที่พันเอกหญิง,ส้าหลี้เฝาะ โต๊ะหลี,คลองไทย,บัญชีรายชื่อ,,,female,,,
32,นายรับเสด็จ ยศติณเธียร,นาย,รับเสด็จ ยศติณเธียร,เสมอภาค,บัญชีรายชื่อ,,,male,,,
33,นายศุภเชษฐ์ เจิมจันทึก,นาย,ศุภเชษฐ์ เจิมจันทึก,เสมอภาค,บัญชีรายชื่อ,,,male,,,
