Number,Title,Name,PartyName,MpType,IsMp,IsActive,IsPmCandidate,MpProvince,MpZone,MpList
,นาย,กฤดิทัช แสงธนโยธิน,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สุปรีย์ แสงสว่าง,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,ธนภัท อุทุมพันธ์,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,ทิวา ขำศิริ,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,ปิยพัชร์ อ่ำสำอางค์,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,นิพล อาบทอง,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สิทธิพร สาระพิน,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,ธนภัทร พุฒซ้อน,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,โสภณ ศรีดานุช,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,มิตรชัย สมบูรณ์,ใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สุรทิน พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,True,,,
,นาง,แพงศรี พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นางสาว,ปวีณา ปาคำ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,พลภัทร หอมแม้น,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สมเกียรติ วนะวนานต์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,วิบูลย์ โพทะจันทร์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สุธิพัฒน์ กิตติภักดีพันธ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,มะนาว คงคาคูล,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,พยัคฆ์ ชาครธรรม,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,ดีน สะดง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,อับดุลรอชิด มะสุยี,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาย,สุชาติ ตามประกอบ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นาง,เจ๊ะไมหมะ ดึนเลาะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นางสาว,สารีนา ฮะยีมะเซ็ง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
,นางสาว,นารีม๊ะ โต๊ะเล๊ะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,1.0,True,False,,,
