Number,Title,Name,PartyName,MpType,IsMp,IsPmCandidate,MpProvince,MpZone,MpList,companyType,totalValueShare,countCompShare,countDirector,totalPctShare
,นาย,เมธี ฉัตรทอง,ท้องที่ไทย,บัญชีรายชื่อ,True,False,,,,"['F', 'M']",0,0,2,0.0
,นาย,วีระศักดิ์ จำปาพันธ์,ท้องที่ไทย,บัญชีรายชื่อ,True,False,,,,"['J', 'F']",1027183,1,1,0.01
,นาย,ชำนาญ ศรีสงค์,ท้องที่ไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เชาวฤทธิ์ ขจรพงศ์กีรติ,พลังสังคมใหม่,บัญชีรายชื่อ,True,True,,,,"['K', 'F']",0,0,2,0.0
,นาย,อนุรักษ์ ขันทะสีมา,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุวรรณ แก้วทอง,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อังกรู ไผ่แก้ว,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,นรสิงห์ โคตะนนท์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เลิศมงคล คงเจริญ,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,วรพัทธ์ คงสะอาด,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,พรชัย วิมลศุภวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,พัชรินทร์ พิมพา,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สมเกียรติ แก้วสิมมา,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ศราวุฒิ ปรีดากัญญารัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,แสงอัมพา หริมูลวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ศิริศักดิ์ นาชัยเงิน,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,"['G', 'C']",783798,1,1,0.01
,ว่าที่ร้อยตรี,สัญญา ฉายาวิก,กรีน,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นางสาว,พรตชนก ชื่นชอบ,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,มุกดิ์หาญ สโมสร,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,นวพัฒน์ มโนหวัน,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ภราดร ดลภราดร,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นาย,นพมาศ พานมาตย์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
1,ว่าที่ร้อยตรีหญิง,อรพรรณ จันตาเรือง,ก้าวไกล,แบ่งเขต,True,False,เชียงใหม่,6,,[],0,0,0,0.0
,นาย,สุรชา รณคนา,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อดิศักดิ์ ไชยรัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เรณู ผิวขาว,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ปุนภพ คงเจริญเขต,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,บุญธรรม วายุบัตร,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ณะไพโรจน์ พัวจันทร์ดี,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,มาริษ คุณากร,พลังสังคมใหม่,บัญชีรายชื่อ,True,False,,,,"['R', 'G']",49026,2,0,0.0
,นาย,ปรีดา บุญเพลิง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,"['P', 'G', 'G']",0,0,3,0.0
,นาย,ไพโรจน์ กระจ่างพันธ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สิริชัย วงศ์พัฒนกิจ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,['M'],11116560,1,0,0.11
8,จ่าเอก,ธีรสุต มีอินทร์,ก้าวไกล,แบ่งเขต,True,False,ชุมพร,1,,['C'],432900,1,0,0.0
,นาย,จีระพงษ์ ถนอมดำรงศักดิ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,คมกริช พุดดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ตรีเพชร ศรีกระภา,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,กัมปนาท มูลโต,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สินสมุทร สมัยพิทักษ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ปรัชญา มั่นทน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,พิศณุ ภูชงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,วิชาญ ช่างวาด,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,มาคอรี บูละ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อนุชา ทองสงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ศิลป์ชัย อาจภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
